units_sold,badges_count,shipping_option_price,inventory_total,has_urgency_banner,merchant_info_subtitle,product_id,uses_ad_boosts
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(3.995775-4.004122]\'','\'(33-inf)\'','\'(0.999647-inf)\'','(568 notes)',5e9ae51d43d6a96e303acdb0,0
'\'(-inf-2.29756]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','75 \% avis positifs (378 notes)',5ed3ae8e7bf8821d5cf4bc64,0
'\'(9.899354-inf)\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','87 \% avis positifs (16,013 notes)',5cf509abb483551e0278ac5e,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','73 \% avis positifs (49 notes)',5e946e7e5a19660b52733c7e,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','(4 notes)',5ed868776a5a342472182986,0
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','86 \% avis positifs (9,308 notes)',5ce74be097a9f1764b0df1f3,0
'\'(9.208853-9.211215]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','86 \% avis positifs (12,309 notes)',5cf632d1c0baab5b15e71437,1
'\'(8.514816-8.519045]\'','\'(0.992962-1.014053]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(0.999647-inf)\'','85 \% avis positifs (130,598 notes)',5cef6f6f1d8cd844d8dade14,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','86\% Feedback pozitiv (2,782 rating)',5eb0b91db0d5d210fe8ac2ff,0
'\'(8.514816-8.519045]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(0.999647-inf)\'','(4,571 notes)',5d2432e4e991b724c8327597,0
'\'(8.514816-8.519045]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','(88,193 notes)',5ce604beadbdfb572729ca3f,1
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','(433 notes)',5e7482a975c1d92dea899a18,1
'\'(9.899354-inf)\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(0.999647-inf)\'','89 \% avis positifs (19,221 notes)',57639e8824841762459c5e5c,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(4.968891-inf)\'','\'(33-inf)\'','\'(-inf-0.000077]\'','92 \% avis positifs (1,088 notes)',5e8dd27d5318e78013eafd40,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','87 \% avis positifs (38,936 notes)',5ebb8a4dc5b72c3e982ec9c1,0
'\'(8.514816-8.519045]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(0.999647-inf)\'','(61,895 notes)',5aec22cec25735338c544690,0
'\'(9.899354-inf)\'','\'(0.992962-1.014053]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','91 \% avis positifs (43,676 notes)',57eccd2865007e1903d250d8,0
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(3.995775-4.004122]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','82 \% avis positifs (26,473 notes)',5cd939cadb29322e7a79b575,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','87 \% avis positifs (483 notes)',5dea1d9cec016f062ce8aab1,0
'\'(9.899354-inf)\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','(59,903 notes)',5d05d9ca81f992576d4f0d23,1
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','(1,290 notes)',5d80989a9abb1f75b86fb8ce,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','(4,435 notes)',5eccd22b4497b86fd48f16b4,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(0.999647-inf)\'','82\% Positives Feedback (9,177 Bewertungen)',5eb650f019701819801f42b2,1
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(0.999647-inf)\'','88 \% avis positifs (2,745 notes)',5cfa8fd7b5db0b6cbdb5f4a6,1
'\'(9.899354-inf)\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(0.999647-inf)\'','90 \% avis positifs (48,654 notes)',58e0f38f9bf29f55183efd0d,0
'\'(8.514816-8.519045]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(0.999647-inf)\'','88 \% avis positifs (13,127 notes)',5ebe24ca1c5e1d1d5306a00b,0
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(0.999647-inf)\'','92 \% avis positifs (4,508 notes)',5d134234b8b4be6c4ed403ff,1
'\'(8.514816-8.519045]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','คำติชมเชิงบว�? 82\% (10,600 คะ�?นน)',5cb854e30715c33b71bcd318,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','84 \% avis positifs (1,047 notes)',5e93d60ebc5446aedde50c50,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(0.999647-inf)\'','77 \% avis positifs (31 notes)',5eda07ab0e295c2097c36590,0
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','85 \% avis positifs (80,093 notes)',5ec37404c1831f02b79b7cd9,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(0.999647-inf)\'','83 \% avis positifs (18 notes)',5ece1b9e57fd6f3ea96f0b26,1
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(0.999647-inf)\'','89 \% avis positifs (30,643 notes)',5a3e27622b0a1c693c87e849,0
'\'(9.208853-9.211215]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','83 \% avis positifs (24,564 notes)',5b74c8f200e4c40836165131,0
'\'(8.514816-8.519045]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','88 \% avis positifs (5,819 notes)',5cad4ef199e9b858928efbff,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(4.968891-inf)\'','\'(33-inf)\'','\'(0.999647-inf)\'','(300 notes)',5b1bf3ccbe42dd67af401067,0
'\'(8.514816-8.519045]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','85 \% avis positifs (12,033 notes)',5bf4c675e52f7426b0d688f3,1
'\'(2.29756-2.456275]\'','\'(-inf-0.002146]\'','\'(3.995775-4.004122]\'','\'(33-inf)\'','\'(0.999647-inf)\'','81 \% avis positifs (31 notes)',5e9a74e447f7d92c8db8d14b,0
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(0.999647-inf)\'','83 \% avis positifs (8,484 notes)',5e9e8180ec24302643422eff,1
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(0.999647-inf)\'','85 \% avis positifs (365 notes)',5e9acdb9faf87d3f938dbbe6,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','86 \% avis positifs (44 notes)',5e951bd77e3ea319cb8c4d83,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(0.999647-inf)\'','86 \% avis positifs (1,374 notes)',5eb4f323b67a8d189a8f8380,0
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(0.999647-inf)\'','84 \% avis positifs (171 notes)',5e26fc417db45b12adcdffef,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(0.999647-inf)\'','93 \% avis positifs (73,595 notes)',5e21311e2e434806022e2d5f,0
'\'(8.514816-8.519045]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','81 \% avis positifs (3,460 notes)',5d9cbb8cf401a262dbc2f81c,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','84 \% avis positifs (5,301 notes)',5eb0d6ce8924cd08428a902a,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(0.999647-inf)\'','(629 notes)',5c7a4ff0fc2f9d2ebdc57be4,0
'\'(8.514816-8.519045]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','89 \% avis positifs (7,851 notes)',5e71e299eb0f3b5a3af7c35f,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','(88,193 notes)',5ec1ed21f4cb0a320a390bca,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','89 \% avis positifs (89 notes)',5d5531bfde263a630dedc093,0
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','89 \% avis positifs (6,460 notes)',5c6770a544f429173fab6b0d,0
'\'(8.514816-8.519045]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(0.999647-inf)\'','84 \% avis positifs (7,076 notes)',5d401a46387b8d36d665b17b,0
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','79\% Positive Feedback (1,452 ratings)',5e0eb9a3ce94460127984053,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','84 \% avis positifs (2,869 notes)',5e4b795796159b77894f2afd,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(0.999647-inf)\'','65 \% avis positifs (43 notes)',5ea6bb4678212d0c01c3476a,0
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','(105,015 notes)',5dde07c651fe4539f9c3ee70,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','87 \% avis positifs (32,724 notes)',5bff59032065bf4285123b4a,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','(2,602 notes)',5e782fc60185361b7bee805f,1
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','(892 notes)',5d369a1866c3c46a8212c172,0
'\'(9.899354-inf)\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','(49,327 ratings)',59cc60cb86ac5b2f32a92b8a,0
'\'(8.514816-8.519045]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','89 \% avis positifs (92,654 notes)',5abddcc030a7eb0beba353d5,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','81 \% avis positifs (268 notes)',5e79a626daa3f125000815ad,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','82 \% avis positifs (129 notes)',5ec5e902610fbb0cb0ab6da2,0
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','88 \% avis positifs (3,161 notes)',5e3bc68087e8cb10820b3161,0
'\'(2.29756-2.456275]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(0.999647-inf)\'','80 \% avis positifs (129 notes)',5ed1c059630f990d1d44592c,0
'\'(9.899354-inf)\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','(70,773 notes)',5525ebeb3056e817e9ccba1d,1
'\'(9.208853-9.211215]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','(11,333 notes)',5d03bea61eff7835fb25338b,1
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(0.999647-inf)\'','(1,290 notes)',5d80989a9abb1f75b86fb8ce,0
'\'(8.514816-8.519045]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','(3,209 notes)',5b1f7d6c3c6b9b16c50a857c,1
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','86 \% avis positifs (39,381 notes)',5b909b94073c6b7adb985307,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(0.999647-inf)\'','89 \% avis positifs (19,281 notes)',5eb2218fbeadef13bbcd71ad,0
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(4.968891-inf)\'','\'(33-inf)\'','\'(0.999647-inf)\'','88 \% avis positifs (9,341 notes)',5c6275876c0cb22f5e6ba570,1
'\'(9.208853-9.211215]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','86 \% avis positifs (39,381 notes)',5bcd4a045d689f171be1655b,1
'\'(6.907155-6.910279]\'','\'(1.014053-inf)\'','\'(4.968891-inf)\'','\'(33-inf)\'','\'(-inf-0.000077]\'','88 \% avis positifs (5,048 notes)',5d0062d51eff785af2761c47,1
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','87\% Olumlu Geri Bildirim (2,377 oy verildi)',5d05b9c3ffe84667e45db71e,0
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','92 \% avis positifs (2,996 notes)',5ce55cc2ebe4035d7fbeb4f8,0
'\'(8.514816-8.519045]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','85 \% avis positifs (25,222 notes)',5b73bf7b7594b445df99384e,1
'\'(9.208853-9.211215]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','86 \% avis positifs (7,069 notes)',5cce7e4242b1b85f6d3e5fa6,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(0.999647-inf)\'','81 \% avis positifs (31 notes)',5e68654e4d9d67070047a61b,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','88 \% avis positifs (7,385 notes)',5e58c7425692c749b5631d44,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(0.999647-inf)\'','86 \% avis positifs (4,705 notes)',5e142dee04c3e579e89576a3,1
'\'(8.514816-8.519045]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','84 \% avis positifs (1,490 notes)',5ad1ac1b81260b40b40c6b2b,0
'\'(8.514816-8.519045]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','(9,827 notes)',594c7f0082f9b070a355c94c,0
'\'(8.514816-8.519045]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','(35,262 notes)',5ce3aefa37b2e67944a89146,0
'\'(9.208853-9.211215]\'','\'(0.992962-1.014053]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','89 \% avis positifs (28,159 notes)',5ac31ba3a9cca9278bbf44d5,1
'\'(9.208853-9.211215]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','82 \% avis positifs (1,702 notes)',5d9d842eb20dc815d33f5749,0
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','(3,373 notes)',5e1bd84750f8cd462a20b05b,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','79 \% avis positifs (127 notes)',5ec1e63f7abee20ab93c68f2,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','80 \% avis positifs (435 notes)',5e65d0ea5dc348884032a14e,1
'\'(9.899354-inf)\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','87 \% avis positifs (108,048 notes)',54bdf18039b8c045f118936a,1
'\'(9.208853-9.211215]\'','\'(-inf-0.002146]\'','\'(4.968891-inf)\'','\'(33-inf)\'','\'(-inf-0.000077]\'','91 \% avis positifs (3,309 notes)',5c8783d4fc2f9d769aa1cc3e,0
'\'(2.29756-2.456275]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(0.999647-inf)\'','91 \% avis positifs (22,621 notes)',573db9316b335c34ca0513b8,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(0.999647-inf)\'','85 \% avis positifs (57 notes)',5ee8875404718a4bba2d6348,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','(610 notes)',5ea5128b91b00685e5fe387d,1
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(0.999647-inf)\'','82 \% avis positifs (25,631 notes)',5d5bc86a32cc57482a4b9d5a,1
'\'(2.456275-4.618199]\'','\'(1.014053-inf)\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(0.999647-inf)\'','91 \% avis positifs (794 notes)',5d0729b0f945bd59ac54b329,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','87 \% avis positifs (1,385 notes)',5e54bf2ed1ef373d3ad6d1d9,1
'\'(6.907155-6.910279]\'','\'(0.992962-1.014053]\'','\'(3.995775-4.004122]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','(29,044 notes)',5a13ff501726782d8daed18e,0
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','88 \% avis positifs (2,610 notes)',5b1a56a219b6ee563e1edc39,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(0.999647-inf)\'','84 \% avis positifs (139,223 notes)',5e9692898a10221b310986c9,1
'\'(8.514816-8.519045]\'','\'(0.992962-1.014053]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(0.999647-inf)\'','90 \% avis positifs (2,199 notes)',5cada72d2d542d7a90cb4f2f,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(0.999647-inf)\'','79 \% avis positifs (127 notes)',5ed1b644b1e34008ce012d4b,0
'\'(8.514816-8.519045]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(0.999647-inf)\'','(23,832 notes)',5cedf17ad1d44c52c59e4aca,1
'\'(8.514816-8.519045]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','83 \% avis positifs (9,926 notes)',5b6696c5365562146825dd5f,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','90 \% avis positifs (104,269 notes)',5d5e5ca35cd08f2a40b53f48,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','88 \% avis positifs (1,338 notes)',5eeb1da8eeb02e10154792a6,1
'\'(9.208853-9.211215]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','85 \% avis positifs (3,549 notes)',5cc5464bef87096336ab0583,0
'\'(8.514816-8.519045]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(0.999647-inf)\'','91 \% avis positifs (5,781 notes)',5cda28715a88ef05656ef440,0
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','82 \% avis positifs (870 notes)',5cd22d97dd0c5b6415519101,0
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','82 \% avis positifs (8,433 notes)',5cf5ccee75af880a5c947bcf,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','86 \% avis positifs (540 notes)',5eb95cc7802266bb4675b6d5,0
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','82 \% avis positifs (20,478 notes)',5d11c1a359a267782799345b,0
'\'(9.208853-9.211215]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(0.999647-inf)\'','(7,314 notes)',5e12e142f1166c04c1948efb,1
'\'(8.514816-8.519045]\'','\'(0.992962-1.014053]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','89 \% avis positifs (15,538 notes)',5c84bd33d8694176615f7019,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','83 \% avis positifs (41,623 notes)',5cf8d241b5db0b3d18364572,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','92 \% avis positifs (6,126 notes)',5e9e8c496f15e20742bd4172,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','82 \% avis positifs (10,600 notes)',5ea3b3944119761a2b014de7,0
'\'(9.208853-9.211215]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','83 \% avis positifs (32,168 notes)',5cd1cbb1b5d96721e0a6b346,0
'\'(9.208853-9.211215]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','84 \% avis positifs (33,148 notes)',587347296dd28e71b1c9d289,0
'\'(8.514816-8.519045]\'','\'(-inf-0.002146]\'','\'(4.968891-inf)\'','\'(33-inf)\'','\'(0.999647-inf)\'','87 \% avis positifs (9,116 notes)',535530635aefb0555ba4351f,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','88 \% avis positifs (885 notes)',5e3baa8d8f7db5003fb33026,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','87 \% avis positifs (7,676 notes)',5e4a4b252ce2e5cac8cb6364,0
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','78 \% avis positifs (6,632 notes)',5e180dab29a9690a38a1748f,1
'\'(-inf-2.29756]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','87 \% avis positifs (108,048 notes)',5e8d70549f1504449514c8b9,0
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(0.999647-inf)\'','87 \% avis positifs (73,119 notes)',5d550011680f557c89bb4406,0
'\'(9.899354-inf)\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(0.999647-inf)\'','87 \% avis positifs (15,076 notes)',5dd4b6c20f11f57cf9ad97d8,1
'\'(9.899354-inf)\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','86 \% avis positifs (366,898 notes)',53897eeeafddf70c91af1cda,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(4.968891-inf)\'','\'(33-inf)\'','\'(0.999647-inf)\'','89 \% avis positifs (514 notes)',5ea0f2a654446407c111b622,1
